comment,ORES, OSAT,KSAT,ALFAD,LEXP,NPAR,ALFAW
topsoil_sand_B1,0.01,0.43,17.46,0.0249,-0.14,1.507,0.0498
topsoil_sand_B2,0.02,0.43,9.65,0.0227,-0.983,1.548,0.0454
topsoil_sand_B3,0.01,0.45,17.81,0.0152,-0.213,1.412,0.0304
topsoil_sand_B4,0.01,0.42,54.8,0.0163,0.177,1.559,0.0326
topsoil_loam_B7,0,0.4,14.07,0.0194,-0.802,1.25,0.0388
topsoil_loam_B8,0,0.43,2.25,0.0096,-2.733,1.284,0.0192
topsoil_loam_B9,0,0.43,1.54,0.0065,-2.161,1.325,0.013
topsoil_clay_B10,0.01,0.42,1.17,0.0118,-4.795,1.224,0.0236
topsoil_clay_B11,0,0.6,5.26,0.0243,-5.395,1.111,0.0486
topsoil_clay_B12,0,0.55,15.46,0.0532,-8.823,1.081,0.1064
topsoil_silt_B14,0.01,0.42,0.8,0.0051,0,1.305,0.0102
topsoil_peat_B16,0,0.73,13.44,0.0134,0.534,1.32,0.0268
topsoil_peat_B17,0,0.72,4.46,0.018,-0.35,1.14,0.036
topsoil_peat_B18,0,0.77,6.67,0.0197,-1.845,1.154,0.0394
subsoil_sand_O1,0.01,0.36,13.21,0.0224,0,2.167,0.0448
subsoil_sand_O2,0.02,0.38,15.56,0.0214,0.039,2.075,0.0428
subsoil_sand_O3,0.01,0.34,18.3,0.0211,-0.522,1.564,0.0422
subsoil_sand_O4,0,0.36,53.1,0.0216,-0.52,1.54,0.0432
subsoil_sand_O5,0.01,0.32,43.55,0.0597,0.343,2.059,0.1194
subsoil_sand_O6,0,0.41,5.48,0.0291,-6.864,1.152,0.0582
subsoil_loam_O8,0,0.47,9.08,0.0136,-0.803,1.342,0.0272
subsoil_loam_O9,0,0.46,2.23,0.0094,-1.382,1.4,0.0188
subsoil_loam_O10,0,0.49,2.22,0.0107,-2.123,1.28,0.0214
subsoil_clay_O11,0,0.42,13.79,0.0191,-1.384,1.152,0.0382
subsoil_clay_O12,0,0.56,1.14,0.0095,-4.171,1.159,0.019
subsoil_clay_O13,0,0.57,3.32,0.0171,-4.645,1.11,0.0342
subsoil_silt_O14,0,0.38,0.36,0.0025,0.057,1.686,0.005
subsoil_peat_O15,0.01,0.41,3.7,0.0071,0.912,1.298,0.0142
subsoil_peat_O16,0,0.89,1.07,0.0103,-1.411,1.376,0.0206
subsoil_peat_O17,0,0.86,2.75,0.0127,-1.832,1.274,0.0254
