headtab,thetatab,conductab
-1.000000e+07,1.000020e-02,2.485069e-23
-5.000000e+06,1.000045e-02,5.012009e-22
-2.000000e+06,1.000131e-02,2.658815e-20
-1.500000e+06,1.000183e-02,9.250648e-20
-1.200000e+06,1.000237e-02,2.433211e-19
-1.000000e+06,1.000293e-02,5.362306e-19
-5.000000e+05,1.000659e-02,1.081473e-17
-2.000000e+05,1.001919e-02,5.737039e-16
-1.500000e+05,1.002684e-02,1.996054e-15
-1.200000e+05,1.003483e-02,5.250253e-15
-1.000000e+05,1.004309e-02,1.157049e-14
-5.000000e+04,1.009675e-02,2.333542e-13
-2.000000e+04,1.028186e-02,1.237903e-11
-1.500000e+04,1.039430e-02,4.306952e-11
-2.200000e+04,1.025219e-02,8.190132e-12
-5.000000e+03,1.142109e-02,5.034908e-09
-2.000000e+03,1.413966e-02,2.670001e-07
-1.500000e+03,1.579049e-02,9.286312e-07
-1.200000e+03,1.751168e-02,2.441444e-06
-1.000000e+03,1.929076e-02,5.377246e-06
-5.000000e+02,3.081558e-02,1.077622e-04
-2.000000e+02,6.958359e-02,5.435310e-03
-1.500000e+02,9.193953e-02,1.800424e-02
-1.200000e+02,1.139862e-01,4.443574e-02
-1.000000e+02,1.352487e-01,9.065612e-02
-9.500000e+01,1.417425e-01,1.102148e-01
-9.000000e+01,1.488156e-01,1.350253e-01
-8.500000e+01,1.565327e-01,1.667680e-01
-8.000000e+01,1.649639e-01,2.077404e-01
-7.500000e+01,1.741844e-01,2.611076e-01
-7.000000e+01,1.842722e-01,3.312587e-01
-6.500000e+01,1.953038e-01,4.243125e-01
-6.000000e+01,2.073479e-01,5.488264e-01
-5.500000e+01,2.204536e-01,7.167696e-01
-5.000000e+01,2.346343e-01,9.448070e-01
-4.500000e+01,2.498422e-01,1.255878e+00
-4.000000e+01,2.659353e-01,1.680884e+00
-3.500000e+01,2.826359e-01,2.259948e+00
-3.000000e+01,2.994884e-01,3.042069e+00
-2.500000e+01,3.158316e-01,4.081181e+00
-2.000000e+01,3.308097e-01,5.425968e+00
-1.500000e+01,3.434534e-01,7.101233e+00
-1.000000e+01,3.528478e-01,9.080379e+00
-9.500000e+00,3.535806e-01,9.291579e+00
-9.000000e+00,3.542738e-01,9.504592e+00
-8.500000e+00,3.549272e-01,9.719221e+00
-8.000000e+00,3.555404e-01,9.935247e+00
-7.500000e+00,3.561132e-01,1.015244e+01
-7.000000e+00,3.566456e-01,1.037052e+01
-6.500000e+00,3.571375e-01,1.058923e+01
-6.000000e+00,3.575888e-01,1.080823e+01
-5.500000e+00,3.579998e-01,1.102717e+01
-5.000000e+00,3.583706e-01,1.124566e+01
-4.500000e+00,3.587014e-01,1.146325e+01
-4.000000e+00,3.589927e-01,1.167941e+01
-3.500000e+00,3.592450e-01,1.189352e+01
-3.000000e+00,3.594590e-01,1.210486e+01
-2.500000e+00,3.596353e-01,1.231248e+01
-2.000000e+00,3.597750e-01,1.251519e+01
-1.500000e+00,3.598793e-01,1.271127e+01
-1.000000e+00,3.599499e-01,1.289809e+01
-9.000000e-01,3.599601e-01,1.293398e+01
-8.000000e-01,3.599691e-01,1.296926e+01
-7.000000e-01,3.599768e-01,1.300386e+01
-6.000000e-01,3.599834e-01,1.303768e+01
-5.000000e-01,3.599888e-01,1.307062e+01
-4.000000e-01,3.599931e-01,1.310251e+01
-3.000000e-01,3.599963e-01,1.313312e+01
-2.000000e-01,3.599985e-01,1.316207e+01
-1.000000e-01,3.599997e-01,1.318865e+01
0.000000e+00,3.600000e-01,1.321000e+01
